E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,400.0,400.0,512.0,512.0,0.7274456754081086,0.9864728509989679,1.0,1.0,72.74456754081086,98.64728509989679,5.0,5.0,5e-18,561.0,cn,1.100137710571289,0.07409133757391174,-0.21588776702104187,2.9612366062430566,189.94096054192974,3.5403508789211993e-13
150.0,150.0,400.0,400.0,512.0,512.0,0.7274456754081432,0.986473424728469,1.0,1.0,72.74456754081432,98.6473424728469,5.0,5.0,1e-17,283.0,cn,0.4497377872467041,0.08999791124882221,-0.21626525462159668,2.9405361277972886,189.9369360751111,3.5404026464993266e-13
150.0,150.0,400.0,400.0,512.0,512.0,0.7274456754081313,0.9864824952682694,1.0,1.0,72.74456754081314,98.64824952682693,5.0,5.0,5e-17,67.0,cn,0.17236900329589844,0.2585955648348335,-0.22217511885075092,2.833881913524534,189.87306937047322,3.54121308595246e-13
150.0,150.0,400.0,400.0,512.0,512.0,0.727445675408135,0.9864733337695454,1.0,1.0,72.74456754081349,98.64733337695453,5.0,5.0,1e-16,46.0,cn,0.14585351943969727,-0.28688702757494433,-0.21620543760650338,4.684951381628329,189.93757423614227,3.5403944433743244e-13
150.0,150.0,400.0,400.0,512.0,512.0,0.7274456753854609,0.9864732375232913,1.0,1.0,72.7445675385461,98.64732375232913,5.0,5.0,5e-16,82.0,cn,0.16589903831481934,1.1495440776805261,-0.21614213129756246,13.3211327498703,189.9382494422097,3.5403857617337e-13
150.0,150.0,400.0,400.0,1024.0,1024.0,0.9999999999985645,0.9999999999999999,1.0,1.0,99.99999999985644,99.99999999999999,5.0,5.0,1e-19,21289.0,cn,67.45402431488037,0.005654714513702248,5.893538589253654e-14,5.3497667655603465,5.040479147614383,2.1740296874997408e-14
150.0,150.0,400.0,400.0,1024.0,1024.0,0.9999999999999712,0.9999999999999999,1.0,1.0,99.99999999999713,99.99999999999999,5.0,5.0,5e-19,4263.0,cn,12.784480810165405,0.005632819995307606,8.419283266291473e-14,5.3502910298689725,5.040490637406476,2.174339453124741e-14
150.0,150.0,400.0,400.0,1024.0,1024.0,0.9999999999997854,0.9999999999999999,1.0,1.0,99.99999999997854,99.99999999999999,5.0,5.0,1e-18,2139.0,cn,9.117534160614014,0.005566334865439958,8.419222342761202e-15,5.351726367248961,5.040502795447157,2.1746671874997402e-14
150.0,150.0,400.0,400.0,1024.0,1024.0,1.0000000000000462,0.9999999999999999,1.0,1.0,100.00000000000462,99.99999999999999,5.0,5.0,5e-18,474.0,cn,2.320258855819702,0.0037624672419860074,5.051399868186052e-14,5.391528860095172,5.040547211521948,2.17586406249974e-14
150.0,150.0,400.0,400.0,1024.0,1024.0,0.9999999999999752,0.9999999999999998,1.0,1.0,99.99999999999753,99.99999999999997,5.0,5.0,1e-17,309.0,cn,1.6233322620391846,0.0006236461204628744,4.209371541783548e-14,5.483975002429339,5.040598441612106,2.1772437499997398e-14
150.0,150.0,400.0,400.0,1024.0,1024.0,1.00000000000001,0.9999999999999999,1.0,1.0,100.000000000001,99.99999999999999,5.0,5.0,5e-17,521.0,cn,1.9170043468475342,0.0006003921080685145,-4.2095398837890403e-14,5.798086953842689,5.040531248539112,2.1754339843747402e-14
150.0,150.0,400.0,400.0,1024.0,1024.0,1.0000000000000966,0.9999999999999999,1.0,1.0,100.00000000000966,99.99999999999999,5.0,5.0,1e-16,978.0,cn,3.275391101837158,0.0015352854020720167,5.893370024165047e-14,5.832710659662118,5.04052720391664,2.1753249999997404e-14
150.0,150.0,400.0,400.0,1024.0,1024.0,1.00000000000143,0.9999999999999999,1.0,1.0,100.00000000014299,99.99999999999999,5.0,5.0,5e-16,4785.0,cn,15.419049978256226,0.0018836360384239226,6.735460941091937e-14,5.844063223464088,5.04048207424333,2.1741085937497406e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,1.0000000000003002,1.0000000000000002,1.0,1.0,100.00000000003001,100.00000000000003,5.0,5.0,1e-19,7176.0,cn,78.65023946762085,0.003013898919003728,2.5258034722100505e-14,5.007868598090383,5.040478336290222,2.17400781249974e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,0.9999999999996896,1.0000000000000002,1.0,1.0,99.99999999996896,100.00000000000003,5.0,5.0,5e-19,1439.0,cn,16.951907634735107,0.0030674583927798103,8.419253350190274e-15,5.0075752597263685,5.0404966075182,2.1745003906247402e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,0.9999999999999732,1.0000000000000002,1.0,1.0,99.99999999999733,100.00000000000003,5.0,5.0,1e-18,725.0,cn,9.383876085281372,0.0032279716838128675,0.0,5.006694190540078,5.040504476557718,2.1747124999997405e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,0.9999999999999967,1.0000000000000002,1.0,1.0,99.99999999999967,100.00000000000003,5.0,5.0,5e-18,180.0,cn,4.822532892227173,0.005401501212429838,-2.5255820912109636e-14,5.002802878915489,5.0406256070958335,2.1779749999997397e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,0.9999999999999931,1.0000000000000002,1.0,1.0,99.99999999999932,100.00000000000003,5.0,5.0,1e-17,145.0,cn,4.319974422454834,0.0013507899008582942,1.6833168248903756e-14,5.069900968005392,5.0410293969509485,2.1888160156247375e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,0.99999999999997,1.0000000000000002,1.0,1.0,99.999999999997,100.00000000000003,5.0,5.0,5e-17,376.0,cn,5.630964756011963,-0.010449157556329068,3.367379364088246e-14,5.3360743129864066,5.040657253426689,2.17882656249974e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,1.000000000000063,1.0000000000000002,1.0,1.0,100.00000000000631,100.00000000000003,5.0,5.0,1e-16,729.0,cn,8.515065670013428,-0.010775873185976548,2.5257614741212515e-14,5.357436049310483,5.040506273645037,2.17476093749974e-14
150.0,150.0,400.0,400.0,2048.0,2048.0,0.9999999999992039,1.0000000000000002,1.0,1.0,99.99999999992039,100.00000000000003,5.0,5.0,5e-16,3610.0,cn,30.728994846343994,-0.010858702537595353,0.0,5.365010731872358,5.040496419134249,2.1744953124997398e-14
